citric acid,total sulfur dioxide,free sulfur dioxide,residual sugar,chlorides,volatile acidity,quality
0.64,42.0,9.0,2.2,0.093,0.41,0.5
0.0,30.0,14.0,2.4,0.104,0.785,0.5
0.12,80.0,12.0,2.0,0.086,0.75,0.5
0.2,119.0,27.0,1.5,0.08,0.625,0.0
0.2,15.0,3.0,1.6,0.069,0.45,0.5
0.7,67.0,22.0,1.9,0.464,0.43,0.5
0.47,73.0,21.0,2.0,0.086,0.5,0.5
0.26,51.0,16.0,1.8,0.401,0.67,0.5
0.48,61.0,18.0,1.8,0.069,0.3,0.5
0.15,40.0,19.0,2.2,0.076,0.55,0.5
0.28,136.0,20.0,1.9,0.11,0.49,0.5
0.26,31.0,9.0,1.9,0.062,0.49,0.5
0.44,125.0,34.0,2.1,0.107,0.39,0.5
0.08,24.0,8.0,1.8,0.076,0.62,0.5
0.26,140.0,42.0,1.9,0.079,0.52,0.5
0.28,136.0,20.0,1.9,0.11,0.49,0.5
0.29,133.0,19.0,2.0,0.11,0.49,0.5
0.26,31.0,9.0,1.9,0.062,0.49,0.5
0.04,85.0,41.0,1.4,0.045,1.02,0.0
0.17,106.0,17.0,2.3,0.058,0.6,0.5
0.0,23.0,8.0,3.0,0.102,0.775,0.5
0.25,22.0,3.0,2.0,0.07,0.5,0.5
0.06,10.0,5.0,2.5,0.079,0.9,0.5
0.18,35.0,13.0,1.9,0.08,0.545,0.5
0.3,50.0,11.0,2.1,0.084,0.61,0.5
0.3,22.0,8.0,1.9,0.075,0.5,0.5
0.18,35.0,13.0,1.9,0.08,0.545,0.5
0.22,65.0,12.0,2.1,0.077,0.575,0.5
0.24,36.0,5.0,2.2,0.07,0.49,0.5
0.22,65.0,12.0,2.1,0.077,0.575,0.5
0.68,69.0,18.0,1.7,0.467,0.41,0.5
0.31,64.0,15.0,1.7,0.08800000000000001,0.63,0.5
0.53,80.0,18.0,2.5,0.091,0.33,0.5
0.52,153.0,37.0,2.0,0.122,0.785,0.5
0.19,47.0,12.0,1.8,0.104,0.56,0.5
0.09,108.0,11.0,2.2,0.084,0.62,0.5
0.1,111.0,14.0,2.2,0.085,0.6,0.5
0.44,46.0,22.0,2.3,0.08,0.31,0.5
0.19,47.0,12.0,1.8,0.104,0.56,0.5
0.31,62.0,13.0,2.2,0.09,0.4,0.5
0.28,40.0,11.0,1.9,0.077,0.54,0.5
0.12,28.0,7.0,2.0,0.08199999999999999,0.56,0.5
0.04,56.0,14.0,2.2,0.119,0.55,0.5
0.08,89.0,22.0,1.8,0.097,0.69,0.5
0.09,89.0,10.0,1.7,0.17800000000000002,1.07,0.5
0.04,56.0,14.0,2.2,0.119,0.55,0.5
0.0,13.0,3.0,2.5,0.075,0.695,0.5
0.0,34.0,11.0,2.6,0.08,0.71,0.5
0.17,102.0,21.0,1.6,0.08199999999999999,0.5,0.5
0.04,90.0,27.0,1.9,0.146,0.62,0.5
0.0,12.0,3.0,1.7,0.081,1.33,0.5
0.0,12.0,3.0,1.8,0.08199999999999999,1.33,0.5
0.16,16.0,3.0,1.8,0.065,0.59,1.0
0.15,19.0,6.0,1.8,0.07200000000000001,0.38,0.5
0.56,134.0,30.0,2.0,0.118,0.745,0.5
0.09,99.0,17.0,2.3,0.049,0.5,0.5
0.09,99.0,17.0,2.3,0.049,0.5,0.5
0.01,26.0,17.0,1.5,0.06,0.5,0.5
0.05,29.0,13.0,2.2,0.084,1.04,0.5
0.11,63.0,16.0,1.9,0.09,0.745,0.5
0.15,52.0,10.0,1.8,0.08900000000000001,0.715,0.5
0.36,45.0,13.0,2.0,0.081,0.415,0.5
0.19,105.0,15.0,2.1,0.081,0.56,0.5
0.19,108.0,17.0,2.0,0.081,0.56,0.5
0.11,63.0,16.0,1.9,0.09,0.745,0.5
0.15,52.0,10.0,1.8,0.08900000000000001,0.715,0.5
0.0,63.0,27.0,1.8,0.05,0.34,0.5
0.08,20.0,3.0,1.7,0.066,0.39,0.5
0.0,63.0,27.0,1.8,0.05,0.34,0.5
0.55,141.0,32.0,1.8,0.117,0.67,0.5
0.02,94.0,21.0,1.8,0.087,0.68,0.5
0.26,88.0,10.0,1.6,0.236,0.49,0.5
0.1,30.0,12.0,2.3,0.07400000000000001,0.49,0.5
0.44,43.0,11.0,2.8,0.08900000000000001,0.4,0.5
0.47,11.0,5.0,2.1,0.077,0.33,0.5
1.0,69.0,32.0,3.4,0.61,0.52,0.0
0.03,99.0,25.0,1.8,0.095,0.6,0.5
0.03,99.0,25.0,1.8,0.095,0.6,0.5
0.42,129.0,29.0,5.5,0.07,0.43,0.5
0.42,128.0,28.0,5.5,0.071,0.43,0.5
0.42,129.0,29.0,5.5,0.07,0.43,0.5
0.42,128.0,28.0,5.5,0.071,0.43,0.5
0.0,22.0,12.0,2.2,0.073,0.68,0.5
0.18,86.0,18.0,1.9,0.079,0.6,0.5
0.03,20.0,7.0,2.0,0.09,0.95,0.5
0.02,20.0,9.0,1.3,0.07200000000000001,0.68,0.0
0.04,31.0,17.0,1.7,0.076,0.53,0.5
0.26,121.0,36.0,7.3,0.07,0.6,0.5
0.26,121.0,35.0,7.2,0.07,0.59,0.5
0.48,96.0,14.0,1.7,0.1,0.63,0.5
0.1,101.0,18.0,2.1,0.085,0.64,0.5
0.03,42.0,17.0,1.6,0.07200000000000001,0.55,0.0
0.07,44.0,11.0,2.1,0.08900000000000001,0.63,0.5
0.24,63.0,15.0,1.8,0.36,0.705,0.5
0.03,8.0,4.0,1.8,0.058,0.885,0.0
0.17,18.0,6.0,2.0,0.073,0.42,0.5
0.17,18.0,6.0,2.0,0.073,0.42,0.5
0.05,42.0,24.0,1.9,0.068,0.62,0.5
0.21,35.0,7.0,2.0,0.08,0.38,0.5
0.04,49.0,19.0,1.5,0.085,0.5,0.5
0.21,35.0,7.0,2.0,0.08,0.38,0.5
0.42,38.0,8.0,2.3,0.087,0.52,0.5
0.0,20.0,7.0,2.5,0.068,0.805,0.5
0.14,42.0,10.0,2.4,0.067,0.61,0.5
0.14,42.0,10.0,2.4,0.067,0.61,0.5
0.49,110.0,23.0,2.0,0.27,0.61,0.5
0.02,42.0,16.0,2.5,0.076,0.73,0.5
0.2,65.0,11.0,1.8,0.077,0.61,0.5
0.21,62.0,8.0,1.9,0.079,0.62,0.5
0.57,85.0,26.0,2.0,0.111,0.31,0.5
0.48,67.0,14.0,2.0,0.08199999999999999,0.39,0.5
0.1,26.0,9.0,2.6,0.084,0.705,0.5
0.33,143.0,15.0,2.0,0.084,0.5,0.5
0.32,144.0,17.0,1.9,0.08199999999999999,0.49,0.5
0.35,127.0,21.0,2.9,0.077,0.5,0.5
0.25,49.0,21.0,1.9,0.07400000000000001,0.37,0.5
0.12,126.0,16.0,3.8,0.099,0.63,0.5
0.21,28.0,7.0,2.2,0.071,0.55,0.5
0.21,28.0,7.0,2.2,0.071,0.55,0.5
0.33,120.0,24.0,2.0,0.07400000000000001,0.59,0.5
0.3,55.0,15.0,2.4,0.07400000000000001,0.58,0.5
0.6,27.0,12.0,2.0,0.067,0.3,0.5
0.08,93.0,13.0,1.2,0.046,0.835,1.0
0.06,31.0,12.0,2.1,0.061,1.09,0.0
0.47,24.0,9.0,1.4,0.056,0.32,1.0
0.48,145.0,39.0,2.1,0.097,0.37,0.5
0.11,49.0,16.0,1.5,0.075,0.5,0.5
0.35,39.0,16.0,1.6,0.08800000000000001,0.42,0.5
0.36,37.0,14.0,1.6,0.08900000000000001,0.43,0.5
0.74,28.0,9.0,2.6,0.095,0.3,1.0
0.74,28.0,9.0,2.6,0.095,0.3,1.0
0.31,120.0,26.0,1.8,0.069,0.57,0.5
0.28,95.0,18.0,2.7,0.1,0.44,0.5
0.58,19.0,7.0,2.1,0.054000000000000006,0.3,1.0
0.6,19.0,5.0,2.0,0.039,0.53,0.5
0.24,62.0,10.0,2.8,0.083,0.725,0.5
0.64,15.0,5.0,2.1,0.059,0.44,0.5
0.26,65.0,28.0,2.2,0.06,0.57,0.5
0.08,41.0,10.0,2.4,0.092,0.735,0.5
0.49,121.0,26.0,5.6,0.06,0.49,0.5
0.16,49.0,13.0,2.0,0.101,0.625,0.5
0.22,41.0,11.0,2.2,0.07200000000000001,0.725,0.5
0.19,44.0,10.0,1.9,0.076,0.49,0.5
0.33,144.0,24.0,2.4,0.08,0.53,0.5
0.37,58.0,24.0,2.0,0.08199999999999999,0.34,0.5
0.26,72.0,16.0,2.0,0.101,0.53,0.5
0.04,10.0,5.0,1.5,0.057,0.61,0.5
0.25,28.0,8.0,2.0,0.083,0.645,0.5
0.36,55.0,15.0,2.0,0.08900000000000001,0.635,0.0
0.25,63.0,29.0,2.6,0.073,0.43,0.5
0.5,81.0,27.0,2.0,0.337,0.59,0.5
0.14,23.0,9.0,2.6,0.08900000000000001,0.82,0.5
0.25,63.0,29.0,2.6,0.073,0.43,0.5
0.25,37.0,10.0,2.6,0.081,0.52,0.5
0.04,106.0,19.0,1.6,0.054000000000000006,0.48,1.0
0.06,49.0,12.0,1.8,0.078,0.38,0.5
0.2,58.0,18.0,2.8,0.09,0.37,0.5
0.25,37.0,10.0,2.6,0.081,0.52,0.5
0.09,37.0,7.0,2.3,0.065,1.0,0.5
0.0,38.0,14.0,1.9,0.097,0.63,0.5
0.0,38.0,14.0,1.9,0.097,0.63,0.5
0.0,39.0,15.0,1.9,0.097,0.645,0.5
0.0,38.0,14.0,1.9,0.097,0.63,0.5
0.09,37.0,7.0,2.3,0.065,1.0,0.5
0.37,62.0,5.0,1.7,0.263,0.635,0.5
0.56,24.0,6.0,2.1,0.093,0.38,0.5
0.1,109.0,28.0,1.8,0.102,0.58,0.5
0.44,24.0,10.0,2.2,0.075,0.21,1.0
0.44,24.0,10.0,2.2,0.075,0.21,1.0
0.0,23.0,6.0,2.0,0.084,0.66,0.5
0.07,51.0,16.0,1.9,0.075,0.68,0.5
0.17,73.0,11.0,2.3,0.07200000000000001,0.6,0.5
0.06,39.0,9.0,1.7,0.07400000000000001,0.53,0.5
0.0,23.0,6.0,2.0,0.084,0.66,0.5
0.44,37.0,16.0,1.6,0.063,0.32,0.5
0.0,34.0,16.0,1.8,0.07400000000000001,0.6,0.5
0.48,21.0,5.0,3.1,0.09,0.35,0.5
0.42,86.0,8.0,1.9,0.092,0.775,0.5
0.0,34.0,16.0,1.8,0.07400000000000001,0.6,0.5
0.23,119.0,17.0,3.2,0.073,0.57,0.5
0.37,13.0,5.0,2.2,0.075,0.34,0.5
0.0,56.0,12.0,2.1,0.075,0.695,0.5
0.76,45.0,8.0,1.8,0.611,0.41,0.5
0.47,33.0,14.0,2.6,0.085,0.31,1.0
0.23,45.0,18.0,1.7,0.077,0.33,0.5
0.04,67.0,12.0,2.0,0.087,0.975,0.0
0.03,35.0,10.0,1.7,0.07,0.52,0.5
0.23,49.0,23.0,1.8,0.077,0.37,0.5
0.49,27.0,5.0,2.4,0.064,0.56,0.5
0.52,10.0,6.0,1.8,0.071,0.26,1.0
0.0,61.0,26.0,3.3,0.096,0.87,0.0
0.46,37.0,15.0,3.6,0.078,0.35,1.0
0.04,27.0,7.0,3.0,0.077,0.54,0.5
0.51,23.0,4.0,4.0,0.104,0.18,0.5
0.06,61.0,27.0,4.0,0.087,0.545,0.5
0.51,23.0,4.0,4.0,0.104,0.18,0.5
0.58,65.0,17.0,4.0,0.071,0.37,0.5
0.2,38.0,10.0,2.4,0.076,0.715,0.5
0.18,94.0,27.0,7.0,0.08800000000000001,0.65,0.5
0.06,61.0,27.0,4.0,0.087,0.545,0.5
0.04,27.0,7.0,3.0,0.077,0.54,0.5
0.51,23.0,4.0,4.0,0.104,0.18,0.5
0.45,13.0,5.0,6.4,0.073,0.32,1.0
0.32,47.0,10.0,5.6,0.087,0.4,1.0
0.44,19.0,6.0,3.6,0.071,0.26,0.5
0.68,10.0,5.0,3.5,0.358,0.27,1.0
0.12,53.0,12.0,3.0,0.067,0.52,0.5
0.32,47.0,10.0,5.6,0.087,0.4,1.0
0.07,71.0,32.0,3.4,0.102,0.59,0.5
0.07,71.0,32.0,3.4,0.102,0.59,0.5
0.55,49.0,25.0,2.0,0.073,0.45,0.5
0.12,53.0,29.0,3.0,0.092,0.4,0.5
0.09,49.0,20.0,2.5,0.091,0.52,1.0
0.53,98.0,33.0,3.3,0.105,0.42,0.5
0.09,49.0,20.0,2.5,0.091,0.52,1.0
0.48,18.0,6.0,2.0,0.343,0.2,0.5
0.23,48.0,18.0,2.7,0.091,0.55,0.5
0.25,16.0,5.0,2.4,0.098,0.36,0.5
0.52,53.0,17.0,3.2,0.094,0.34,0.5
0.46,27.0,5.0,2.5,0.073,0.5,0.5
0.37,70.0,26.0,2.6,0.086,0.83,0.5
0.06,29.0,8.0,2.0,0.083,0.63,0.5
0.02,31.0,5.0,2.3,0.094,0.65,0.5
0.06,33.0,8.0,2.1,0.08,0.67,0.5
0.06,44.0,20.0,2.6,0.086,0.53,0.5
0.48,15.0,7.0,1.5,0.068,0.18,0.5
0.12,28.0,12.0,2.6,0.092,0.705,0.5
0.12,21.0,5.0,1.6,0.18600000000000005,0.67,0.5
0.6,90.0,12.0,2.1,0.112,0.65,0.5
0.48,25.0,6.0,2.5,0.063,0.53,0.5
0.32,54.0,7.0,2.2,0.08199999999999999,0.62,0.5
0.42,14.0,6.0,2.4,0.213,0.41,0.5
0.44,12.0,5.0,2.4,0.214,0.43,0.5
0.38,30.0,9.0,1.7,0.062,0.29,0.5
0.48,25.0,6.0,2.5,0.063,0.53,0.5
0.24,105.0,15.0,2.0,0.07200000000000001,0.53,0.5
0.31,98.0,19.0,2.8,0.093,0.46,0.5
0.3,135.0,30.0,3.0,0.076,0.47,0.5
0.29,72.0,26.0,2.6,0.087,0.36,0.5
0.29,53.0,20.0,2.5,0.096,0.35,0.5
0.23,92.0,37.0,3.4,0.102,0.56,0.5
0.12,74.0,30.0,2.9,0.08199999999999999,0.77,0.5
0.39,59.0,21.0,3.2,0.083,0.66,1.0
0.12,74.0,30.0,2.9,0.08199999999999999,0.77,0.5
0.39,59.0,21.0,3.2,0.083,0.66,1.0
0.26,87.0,25.0,3.4,0.09,0.61,0.5
0.05,18.0,6.0,2.3,0.079,0.62,0.5
0.42,73.0,35.0,2.8,0.09,0.59,0.5
0.2,50.0,13.0,11.0,0.071,0.49,0.5
0.2,50.0,13.0,11.0,0.071,0.49,0.5
0.66,14.0,6.0,3.65,0.121,0.53,1.0
0.5,13.0,5.0,4.5,0.107,0.44,0.5
0.62,21.0,6.0,2.6,0.08199999999999999,0.27,0.5
0.39,15.0,7.0,2.0,0.061,0.46,0.5
0.64,41.0,10.0,2.9,0.122,0.36,0.5
0.64,41.0,10.0,2.9,0.122,0.36,0.5
0.28,114.0,21.0,3.2,0.066,0.58,0.5
0.08,44.0,16.0,2.1,0.105,0.56,0.5
0.01,38.0,17.0,2.5,0.078,0.65,1.0
0.53,21.0,7.0,3.4,0.128,0.695,1.0
0.45,16.0,6.0,1.9,0.052000000000000005,0.43,0.5
0.32,58.0,29.0,2.8,0.08,0.43,0.5
0.58,99.0,28.0,3.0,0.103,0.49,0.5
0.54,29.0,12.0,2.3,0.08199999999999999,0.28,1.0
0.5,21.0,10.0,2.4,0.066,0.34,0.5
0.48,18.0,5.0,2.7,0.065,0.42,0.5
0.47,14.0,6.0,1.8,0.118,0.39,0.5
0.47,14.0,6.0,1.8,0.118,0.39,0.5
0.5,32.0,6.0,2.6,0.08199999999999999,0.57,0.5
0.0,63.0,40.0,1.9,0.067,0.685,0.5
0.02,34.0,17.0,2.7,0.07200000000000001,0.815,1.0
0.67,15.0,6.0,3.0,0.093,0.49,0.5
0.31,46.0,15.0,2.8,0.08900000000000001,0.56,0.5
0.0,28.0,11.0,2.6,0.093,0.785,0.5
0.22,34.0,17.0,2.7,0.107,0.67,0.5
0.0,26.0,11.0,2.6,0.096,0.795,0.5
0.0,19.0,8.0,2.4,0.09,0.665,0.5
0.79,77.0,23.0,4.8,0.12,0.53,0.5
0.4,165.0,40.5,1.4,0.066,0.21,0.5
0.01,32.0,17.0,2.4,0.078,0.75,0.5
0.52,55.0,29.0,3.0,0.08,0.41,0.5
0.66,29.0,12.0,2.95,0.116,0.42,1.0
0.66,23.0,10.0,3.1,0.109,0.43,1.0
0.66,41.0,10.0,2.6,0.08800000000000001,0.38,0.5
0.23,81.0,14.0,2.0,0.099,0.7,0.5
0.31,50.0,21.0,2.6,0.086,0.45,0.5
0.66,37.0,6.0,2.5,0.07200000000000001,0.58,0.5
0.63,15.0,6.0,2.0,0.071,0.46,0.5
0.66,42.0,7.0,5.8,0.083,0.615,1.0
0.5,21.0,7.0,3.4,0.107,0.42,0.5
0.66,42.0,7.0,5.8,0.083,0.615,1.0
0.61,24.0,11.0,2.6,0.076,0.575,0.5
0.52,75.0,15.0,2.8,0.159,0.34,0.5
0.53,18.0,6.0,2.4,0.07400000000000001,0.27,1.0
0.02,63.0,35.0,2.3,0.063,0.765,0.5
0.4,25.0,11.0,1.6,0.056,0.24,0.5
0.48,46.0,26.0,1.8,0.067,0.28,0.5
0.22,72.0,12.0,2.2,0.106,0.55,0.5
0.63,47.0,6.0,3.8,0.08900000000000001,0.41,0.5
0.71,15.0,6.0,4.4,0.124,0.54,1.0
0.5,47.0,19.0,3.0,0.078,0.45,0.5
0.53,18.0,6.0,2.4,0.07400000000000001,0.27,1.0
0.66,24.0,6.0,6.2,0.08800000000000001,0.625,0.5
0.38,60.0,24.0,2.5,0.094,0.42,0.5
0.42,27.0,11.0,2.0,0.08,0.26,0.5
0.68,43.0,17.0,2.9,0.085,0.415,0.5
0.42,27.0,11.0,2.0,0.08,0.26,0.5
0.42,27.0,11.0,2.0,0.08,0.26,0.5
0.28,54.0,23.0,2.1,0.087,0.51,0.5
0.07,37.0,11.0,2.4,0.09,0.63,0.5
0.26,48.0,23.0,2.0,0.08800000000000001,0.54,0.5
0.15,42.0,17.0,1.9,0.079,0.66,0.5
0.26,53.0,23.0,1.9,0.08800000000000001,0.46,0.5
0.31,49.0,16.0,2.5,0.096,0.38,1.0
0.05,88.0,12.0,1.4,0.045,0.85,1.0
0.68,43.0,17.0,2.9,0.085,0.415,0.5
0.52,26.0,6.0,2.0,0.08199999999999999,0.37,0.5
0.61,95.0,13.0,2.0,0.112,0.665,0.5
0.65,25.0,6.0,2.3,0.063,0.6,0.5
0.76,38.0,7.0,4.2,0.066,0.37,1.0
0.02,124.0,68.0,7.9,0.122,0.735,0.5
0.59,49.0,13.0,2.6,0.087,0.59,0.5
0.59,49.0,13.0,2.6,0.087,0.59,0.5
0.22,42.0,9.0,2.3,0.064,0.765,0.5
0.02,124.0,68.0,7.9,0.122,0.735,0.5
0.3,38.0,20.0,1.7,0.059,0.26,0.5
0.54,64.0,19.0,2.6,0.085,0.48,0.5
0.49,41.0,10.0,2.7,0.085,0.6,0.5
0.05,27.0,15.0,2.7,0.075,0.69,0.5
0.46,25.0,11.0,1.4,0.059,0.31,0.5
0.47,28.0,9.0,2.5,0.063,0.44,0.5
0.66,30.0,12.0,3.0,0.093,0.39,1.0
0.58,16.0,6.0,3.7,0.174,0.34,0.5
0.49,49.0,26.0,4.5,0.07,0.46,0.0
0.34,86.0,26.0,2.5,0.08,0.43,0.5
0.35,78.0,23.0,2.4,0.08,0.45,0.5
0.16,77.0,15.0,1.9,0.1,0.735,0.5
0.53,19.0,6.0,6.7,0.097,0.4,1.0
0.34,122.0,24.0,2.7,0.087,0.52,0.5
0.24,134.0,31.0,6.6,0.117,0.725,0.5
0.64,20.0,6.0,2.2,0.111,0.48,0.5
0.12,124.0,34.0,1.9,0.091,0.58,0.5
0.51,20.0,7.0,2.0,0.121,0.38,0.5
0.0,52.0,34.0,1.8,0.066,0.77,0.5
0.33,67.0,35.0,2.4,0.08900000000000001,0.56,1.0
0.03,48.0,32.0,2.3,0.059,0.84,1.0
0.2,60.0,15.0,2.0,0.047,0.96,0.5
0.47,24.0,6.0,2.1,0.066,0.24,1.0
0.2,60.0,15.0,2.0,0.047,0.96,0.5
0.03,48.0,32.0,2.3,0.059,0.84,1.0
0.08,48.0,19.0,2.1,0.045,0.67,0.5
0.22,32.0,6.0,1.9,0.077,0.78,0.5
0.33,30.0,9.0,1.3,0.07,0.52,0.5
0.63,35.0,13.0,2.4,0.08800000000000001,0.84,0.5
0.47,24.0,6.0,2.1,0.066,0.24,1.0
0.35,66.0,21.0,2.2,0.07400000000000001,0.55,0.5
0.69,24.0,12.0,2.3,0.078,0.37,0.5
0.63,18.0,6.0,2.3,0.091,0.39,0.5
0.55,54.0,22.0,3.2,0.076,0.41,0.5
0.63,18.0,6.0,2.3,0.091,0.39,0.5
0.3,62.0,38.0,2.0,0.06,0.67,0.5
0.73,22.0,6.0,3.2,0.066,0.45,0.5
0.55,54.0,22.0,3.2,0.076,0.41,0.5
0.18,50.0,7.0,1.5,0.062,0.62,0.5
0.72,29.0,6.0,2.2,0.07200000000000001,0.31,1.0
0.65,27.0,7.0,2.15,0.068,0.4,0.5
0.76,43.0,6.0,3.7,0.1,0.685,1.0
0.49,19.0,11.0,2.7,0.077,0.44,1.0
0.01,27.0,5.0,1.7,0.054000000000000006,0.57,1.0
0.1,31.0,6.0,2.1,0.079,0.735,0.5
0.6,72.0,31.0,2.6,0.081,0.38,0.5
0.29,16.0,6.0,2.1,0.127,0.48,0.5
0.22,27.0,7.0,2.0,0.1,0.53,0.5
0.69,35.0,17.0,2.8,0.095,0.39,0.5
0.69,35.0,17.0,2.8,0.095,0.39,0.5
0.53,26.0,9.0,1.8,0.413,0.37,0.5
0.03,35.0,18.0,1.7,0.084,0.56,0.5
0.63,22.0,5.0,2.8,0.084,0.33,1.0
0.4,67.0,21.0,1.6,0.063,0.23,0.5
0.67,19.0,6.0,5.2,0.086,0.62,1.0
0.39,22.0,5.0,2.3,0.095,0.59,0.5
0.21,65.0,29.0,2.7,0.097,0.63,0.5
0.63,22.0,5.0,2.8,0.084,0.33,1.0
0.66,47.0,10.0,2.2,0.07400000000000001,0.58,0.0
0.52,23.0,14.0,2.3,0.083,0.43,0.5
0.22,19.0,6.0,2.6,0.087,0.615,0.5
0.68,25.0,10.0,2.55,0.085,0.26,0.5
0.7,129.0,25.0,2.2,0.098,0.66,0.5
0.54,15.0,5.0,2.1,0.084,0.315,0.5
0.4,26.0,10.0,2.9,0.098,0.29,0.5
0.42,51.0,21.0,2.0,0.069,0.5,0.5
0.45,18.0,7.0,2.6,0.065,0.46,0.5
0.69,21.0,6.0,2.1,0.09,0.36,0.5
0.02,48.0,36.0,1.2,0.07,0.82,0.5
0.65,47.0,15.0,2.6,0.093,0.32,0.5
0.42,52.0,25.0,2.4,0.081,0.54,0.5
0.55,68.0,25.0,2.6,0.083,0.37,0.5
0.55,14.0,5.0,2.1,0.062,0.35,0.5
0.51,24.0,10.0,1.7,0.08,0.28,0.5
0.24,28.0,5.0,2.2,0.087,0.68,0.5
0.41,16.0,6.0,2.0,0.091,0.27,0.5
0.49,20.0,6.0,1.8,0.075,0.24,0.5
0.24,28.0,5.0,2.2,0.087,0.68,0.5
0.11,31.0,6.0,2.7,0.077,0.685,0.5
0.39,23.0,6.0,15.5,0.069,0.28,0.5
0.56,17.0,6.0,2.8,0.08,0.3,1.0
0.59,18.0,6.0,2.2,0.152,0.36,0.5
